series,"03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025"
United States,74551,73942,76920,78863,77492,80768,78492,80243,77499,133677,55701,47819,50167,48621,55667,55067,59800,60409,60808,64245,60540,63084,70775,63470,69400,69598,74902,74033,78421,76229,71850,73608,69275,85010,71013,59413,64437,64345,68702,68966,71625,71316,67322,68440,64980,74841,,,,,,,,,,,,,,,
United States Clearances,10502,10780,11179,10714,10474,10872,10578,10202,9119,21933,7276,6527,7421,6936,7585,7809,7966,8034,7895,7767,7174,7903,8634,8314,9719,9282,9751,9955,9982,10188,9530,9180,8665,12369,10109,8852,9521,9199,10005,9706,9932,10620,9927,9840,9220,11080,,,,,,,,,,,,,,,
