series,"03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025"
United States,61036,59553,74068,77900,80929,80608,72180,73489,65893,127398,48645,42343,49765,53939,61472,60032,63290,60394,57088,59157,51817,53573,63907,60041,71977,73203,80657,77502,81342,77180,74511,73838,64712,85318,69983,59710,68093,72245,78698,74991,79494,75436,72648,75522,64239,75775,,,,,,,,,,,,,,,
United States Clearances,30133,29180,34006,32661,35140,35103,32116,31655,27877,61203,21396,19797,22916,23419,26009,26156,26633,26094,24452,25107,22310,23032,27285,26122,31313,30671,33579,33131,34153,34144,32085,31086,28139,28541,31978,28599,32905,33086,36171,34776,36530,36361,34340,34668,31168,31501,,,,,,,,,,,,,,,
