series,"03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025"
United States,3032,3246,3971,4464,4653,4222,4194,3911,3730,4771,2209,1846,2438,2685,2774,2695,2904,2621,2559,2447,2520,2520,3289,3210,3635,3491,3746,3416,3726,3104,3194,3364,2841,2856,2871,2757,3026,3186,3427,3304,3636,3082,3014,3008,2987,3073,,,,,,,,,,,,,,,
United States Clearances,655,693,805,819,837,828,915,842,678,1149,531,500,575,649,741,650,670,659,584,603,588,613,779,777,879,843,893,855,881,881,855,833,700,859,888,773,845,826,894,850,892,795,879,780,775,822,,,,,,,,,,,,,,,
